,transcript_file,speaker_code,transcript_clean,is_grammatical,note
12339,NewEngland/32/19.cha,CHI,you read it.,0,
12340,NewEngland/32/19.cha,CAR,what's what what can you recognize in this picture?,,
12341,NewEngland/32/19.cha,CAR,what's that?,,
12342,NewEngland/32/19.cha,CHI,two bunnys.,1,
12343,NewEngland/32/19.cha,CAR,yeah.,,
12344,NewEngland/32/19.cha,CAR,I think this is the daddy bunny.,,
12345,NewEngland/32/19.cha,CAR,he's got the tie on.,,
12346,NewEngland/32/19.cha,CAR,and this must be the child bunny.,,
12347,NewEngland/32/19.cha,CAR,what kind of this is a couch and a lamp.,,
12348,NewEngland/32/19.cha,CAR,this one says door and house.,,
12349,NewEngland/32/19.cha,CAR,and this says sun.,,
12350,NewEngland/32/19.cha,CAR,I'm a little bunny.,,
12351,NewEngland/32/19.cha,CAR,my name is Frannie.,,
12352,NewEngland/32/19.cha,CAR,so what do you what do you see in this picture that you know?,,
12353,NewEngland/32/19.cha,CAR,what does Frannie have?,,
12354,NewEngland/32/19.cha,CHI,I don't know.,1,
12355,NewEngland/32/19.cha,CAR,you don't know.,,
12356,NewEngland/32/19.cha,CAR,what's the what's he.,,
12357,NewEngland/32/19.cha,CAR,little hand.,,
12358,NewEngland/32/19.cha,CAR,look at his slippers with the bunny on top.,,
12359,NewEngland/32/19.cha,CAR,hi Matt.,,
12360,NewEngland/32/19.cha,CAR,a toy and a bathrobe and a rug.,,
12361,NewEngland/32/19.cha,CAR,this is his room.,,
12362,NewEngland/32/19.cha,CAR,locks and a bed and a bug and a blanket.,,
12363,NewEngland/32/19.cha,CAR,and a window.,,
12364,NewEngland/32/19.cha,CAR,and a sun and a curtain.,,
12365,NewEngland/32/19.cha,CAR,I brush my teeth when I get up.,,
12366,NewEngland/32/19.cha,CAR,look at him brushing his teeth.,,
12367,NewEngland/32/19.cha,CAR,toothpaste.,,
12368,NewEngland/32/19.cha,CAR,what do you see in this picture?,,
12369,NewEngland/32/19.cha,CHI,he he has a sad face.,1,
12370,NewEngland/32/19.cha,CAR,yeah.,,
12371,NewEngland/32/19.cha,CAR,you think he's sad.,,
12372,NewEngland/32/19.cha,CAR,why do you think he feels so sad?,,
12373,NewEngland/32/19.cha,CHI,because his father left.,1,
12374,NewEngland/32/19.cha,CAR,yeah.,,
12375,NewEngland/32/19.cha,CAR,without kissing him goodbye this morning?,,
12376,NewEngland/32/19.cha,CHI,yeah.,,
12377,NewEngland/32/19.cha,CAR,guess what?,,
12378,NewEngland/32/19.cha,CHI,what?,,
12379,NewEngland/32/19.cha,CAR,when daddy went to work this morning?,,
12380,NewEngland/32/19.cha,CHI,what?,,
12381,NewEngland/32/19.cha,CAR,and um you were still sleeping in your bed?,,
12382,NewEngland/32/19.cha,CHI,yeah.,,
12383,NewEngland/32/19.cha,CAR,you know what your daddy did?,,
12384,NewEngland/32/19.cha,CHI,what?,,
12385,NewEngland/32/19.cha,CAR,he went up to your bed and he peeked in and while you were sleeping he kissed you like this.,,
12386,NewEngland/32/19.cha,CAR,and he came back down and he said to me he said Mommy he says Andy's still sleeping he said but I'll make sure to tell him that I gave him a kiss this morning.,,
12387,NewEngland/32/19.cha,CHI,a toothbrush.,0,
12388,NewEngland/32/19.cha,CAR,you think it's a toothbrush?,,
12389,NewEngland/32/19.cha,CHI,yeah.,,
12390,NewEngland/32/19.cha,CHI,it is a toothbrush.,1,
12391,NewEngland/32/19.cha,CAR,it is a toothbrush.,,
12392,NewEngland/32/19.cha,CAR,and there's some soap?,,
12393,NewEngland/32/19.cha,CHI,yeah.,,
12394,NewEngland/32/19.cha,CAR,and a glass.,,
12395,NewEngland/32/19.cha,CAR,and a comb.,,
12396,NewEngland/32/19.cha,CAR,and there's the bug.,,
12397,NewEngland/32/19.cha,CAR,can you find the bug in this picture?,,
12398,NewEngland/32/19.cha,CAR,where's the the bug is hiding in that other picture.,,
12399,NewEngland/32/19.cha,CAR,hi!,,
12400,NewEngland/32/19.cha,CHI,see?,,
12401,NewEngland/32/19.cha,CAR,hi.,,
12402,NewEngland/32/19.cha,CAR,here's the here's the bug in this picture.,,
12403,NewEngland/32/19.cha,CAR,see if you can find the bug in this picture.,,
12404,NewEngland/32/19.cha,CAR,do you see where he is?,,
12405,NewEngland/32/19.cha,CHI,yep.,,
12406,NewEngland/32/19.cha,CAR,where is he?,,
12407,NewEngland/32/19.cha,CAR,he was hiding behind the sink.,,
12408,NewEngland/32/19.cha,CAR,let's turn the page and see if the bug's in this picture too.,,
12409,NewEngland/32/19.cha,CAR,can you find him in this picture?,,
12410,NewEngland/32/19.cha,CAR,ah there he is.,,
12411,NewEngland/32/19.cha,CAR,he's hiding in the sock.,,
12412,NewEngland/32/19.cha,CAR,what do you see in this picture that you know?,,
12413,NewEngland/32/19.cha,CAR,there's the bunny.,,
12414,NewEngland/32/19.cha,CAR,yeah.,,
12415,NewEngland/32/19.cha,CAR,and what kind of clothes are these?,,
12416,NewEngland/32/19.cha,CAR,there's a sweater.,,
12417,NewEngland/32/19.cha,CAR,what's this?,,
12418,NewEngland/32/19.cha,CHI,I don't know.,1,
12419,NewEngland/32/19.cha,CAR,no you don't know?,,
12420,NewEngland/32/19.cha,CAR,how about.,,
12421,NewEngland/32/19.cha,CHI,pants.,,
12422,NewEngland/32/19.cha,CAR,I would say that's pants.,,
12423,NewEngland/32/19.cha,CAR,a jacket.,,
12424,NewEngland/32/19.cha,CAR,and a hat.,,
12425,NewEngland/32/19.cha,CAR,and some shoes.,,
12426,NewEngland/32/19.cha,CHI,and and some.,-1,
12427,NewEngland/32/19.cha,CHI,is this a raincoat?,1,
12428,NewEngland/32/19.cha,CAR,looks like a raincoat to me.,,
12429,NewEngland/32/19.cha,CAR,looks like a raincoat to me.,,
12430,NewEngland/32/19.cha,CHI,can you go in the snow with this?,1,
12431,NewEngland/32/19.cha,CAR,yeah you can go in the snow.,,
12432,NewEngland/32/19.cha,CAR,or you can go in the rain.,,
12433,NewEngland/32/19.cha,CAR,what do you think?,,
12434,NewEngland/32/19.cha,CHI,I wanna go in the snow with this today.,1,
12435,NewEngland/32/19.cha,CAR,yeah.,,
12436,NewEngland/32/19.cha,CAR,well as soon as the snow comes.,,
12437,NewEngland/32/19.cha,CAR,but it's been really hot out so I don't think there's going to be any snow today.,,
12438,NewEngland/32/19.cha,CAR,in the summertime though you don't go in the snow.,,
12439,NewEngland/32/19.cha,CAR,but you can go swimming in a pool.,,
12440,NewEngland/32/19.cha,CHI,no in my pool.,0,
12441,NewEngland/32/19.cha,CAR,alright.,,
12442,NewEngland/32/19.cha,CAR,we can do that when we go home.,,
12443,NewEngland/32/19.cha,CHI,no!,,
12444,NewEngland/32/19.cha,CHI,no!,,
12445,NewEngland/32/19.cha,CAR,what?,,
12446,NewEngland/32/19.cha,CHI,I wanna I wanna I wanna go to Jared's.,1,
12447,NewEngland/32/19.cha,CAR,yeah well we'll go get Jamie and then we'll go in Jared's pool.,,
12448,NewEngland/32/19.cha,CAR,I wanna.,,
12449,NewEngland/32/19.cha,CAR,you wanna see the rest of those pictures in that book?,,
12450,NewEngland/32/19.cha,CHI,I wanna bring it to Jared's.,1,
12451,NewEngland/32/19.cha,CAR,I don't think that we could borrow it.,,
12452,NewEngland/32/19.cha,CHI,I wanna borrow it.,1,
12453,NewEngland/32/19.cha,CAR,oh you can ask Miss Gibbons.,,
12454,NewEngland/32/19.cha,CAR,alright.,,
12455,NewEngland/32/19.cha,CAR,I wanna see what else is in this last couple of pages.,,
12456,NewEngland/32/19.cha,CAR,I'm so curious to see.,,
12457,NewEngland/32/19.cha,CAR,ah!,,
12458,NewEngland/32/19.cha,CAR,wanna see the last pages?,,
12459,NewEngland/32/19.cha,CHI,yeah.,,
12460,NewEngland/32/19.cha,CAR,mommy makes breakfast.,,
12461,NewEngland/32/19.cha,CAR,see the cup and the saucer.,,
12462,NewEngland/32/19.cha,CAR,and the fork and the knife.,,
12463,NewEngland/32/19.cha,CAR,know what this is on the plate?,,
12464,NewEngland/32/19.cha,CHI,what?,,
12465,NewEngland/32/19.cha,CAR,know what kind of food that is?,,
12466,NewEngland/32/19.cha,CHI,what?,,
12467,NewEngland/32/19.cha,CAR,do you know what that is?,,
12468,NewEngland/32/19.cha,CHI,I don't know.,1,
12469,NewEngland/32/19.cha,CAR,it's an egg.,,
12470,NewEngland/32/19.cha,CAR,who eats eggs in our house?,,
12471,NewEngland/32/19.cha,CHI,uh does Prissy does?,1,
12472,NewEngland/32/19.cha,CAR,Prissy does.,,
12473,NewEngland/32/19.cha,CHI,does do I do?,-1,
12474,NewEngland/32/19.cha,CAR,I don't think I've ever seen you eat an egg cooked like this.,,
12475,NewEngland/32/19.cha,CAR,daddy eats them like that though.,,
12476,NewEngland/32/19.cha,CHI,and I do too.,1,
12477,NewEngland/32/19.cha,CAR,and there's an egg beater and milk and butter and a tablecloth.,,
12478,NewEngland/32/19.cha,CAR,Matty.,,
12479,NewEngland/32/19.cha,CAR,okay.,,
12480,NewEngland/32/19.cha,CAR,oh look at the kids!,,
12481,NewEngland/32/19.cha,CAR,they're look like they're having a ball.,,
12482,NewEngland/32/19.cha,CAR,what are they doing in this picture?,,
12483,NewEngland/32/19.cha,CHI,I don't know.,1,
12484,NewEngland/32/19.cha,CAR,he's digging with his pail and his shovel.,,
12485,NewEngland/32/19.cha,CAR,and these folks are digging digging they're playing on the see saw marjorie daw.,,
12486,NewEngland/32/19.cha,CAR,ah and what's this over here?,,
12487,NewEngland/32/19.cha,CHI,I don't know.,1,
12488,NewEngland/32/19.cha,CAR,you don't know.,,
12489,NewEngland/32/19.cha,CHI,a wagon.,0,
12490,NewEngland/32/19.cha,CAR,a wagon.,,
12491,NewEngland/32/19.cha,CAR,who has a wagon like that?,,
12492,NewEngland/32/19.cha,CHI,us.,,
12493,NewEngland/32/19.cha,CAR,yeah we do.,,
12494,NewEngland/32/19.cha,CAR,oh and there's some flowers.,,
12495,NewEngland/32/19.cha,CAR,and what's happening in this picture?,,
12496,NewEngland/32/19.cha,CHI,I don't know.,1,
12497,NewEngland/32/19.cha,CAR,I don't know.,,
12498,NewEngland/32/19.cha,CAR,are they brushing their teeth?,,
12499,NewEngland/32/19.cha,CHI,look it.,-1,
12500,NewEngland/32/19.cha,CHI,they're each in the bed.,1,
12501,NewEngland/32/19.cha,CAR,in their beds.,,
12502,NewEngland/32/19.cha,CAR,who's reading their bedtime story?,,
12503,NewEngland/32/19.cha,CAR,you think that's the mommy bunny or the daddy bunny?,,
12504,NewEngland/32/19.cha,CHI,the daddy bunny.,1,
12505,NewEngland/32/19.cha,CAR,yeah.,,
12506,NewEngland/32/19.cha,CHI,he is.,1,
12507,NewEngland/32/19.cha,CAR,and this maybe this is the bunny's baby Joey.,,
12508,NewEngland/32/19.cha,CAR,yeah.,,
12509,NewEngland/32/19.cha,CAR,and look at this.,,
12510,NewEngland/32/19.cha,CAR,even the bug has a little baby Joey.,,
12511,NewEngland/32/19.cha,CAR,and they cuddle him up.,,
12512,NewEngland/32/19.cha,CAR,and they probably say their prayers and they say we'll see you in the morning when the sun comes up.,,
12513,NewEngland/32/19.cha,CAR,look at the picture.,,
12514,NewEngland/32/19.cha,CAR,even the picture has the bunny and a bug.,,
12515,NewEngland/32/19.cha,CAR,you wanna turn the last page and see if there is any more?,,
12516,NewEngland/32/19.cha,CHI,yeah.,,
12517,NewEngland/32/19.cha,CAR,you turn the last page.,,
12518,NewEngland/32/19.cha,CHI,this way?,1,
12519,NewEngland/32/19.cha,CAR,uhhum.,,
12520,NewEngland/32/19.cha,CHI,see.,,
12521,NewEngland/32/19.cha,CHI,this doesn't turn.,1,
12522,NewEngland/32/19.cha,CAR,it doesn't turn?,,
12523,NewEngland/32/19.cha,CAR,oh it's the end of the book?,,
12524,NewEngland/32/19.cha,CAR,ah there's the mum.,,
12525,NewEngland/32/19.cha,CAR,can you tell me anything you see in this picture?,,
12526,NewEngland/32/19.cha,CAR,what's that?,,
12527,NewEngland/32/19.cha,CHI,I don't know.,1,
12528,NewEngland/32/19.cha,CAR,I don't know.,,
12529,NewEngland/32/19.cha,CHI,a balloon!,0,
12530,NewEngland/32/19.cha,CAR,looks like a clock to me.,,
12531,NewEngland/32/19.cha,CAR,why don't you put this book away in the box and I'll see what's in the next box up on the desk?,,
12532,NewEngland/32/19.cha,CAR,okay?,,
12533,NewEngland/32/19.cha,CAR,here.,,
12534,NewEngland/32/19.cha,CAR,you put that away.,,
12535,NewEngland/32/19.cha,CAR,see if you can put the top on the box and I'll see what's on the desk.,,
12536,NewEngland/32/19.cha,CAR,can you put the top on that now?,,
12537,NewEngland/32/19.cha,CAR,here I'll give you a helping hand.,,
12538,NewEngland/32/19.cha,CAR,there.,,
12539,NewEngland/32/19.cha,CAR,you put that up on the desk.,,
12540,NewEngland/32/19.cha,CAR,thank you.,,
12541,NewEngland/32/19.cha,CAR,good work.,,
12542,NewEngland/32/19.cha,CAR,crash.,,
12543,NewEngland/32/19.cha,CAR,alright.,,
12544,NewEngland/32/19.cha,CAR,that's alright.,,
12545,NewEngland/32/19.cha,CAR,I can fix that later.,,
12546,NewEngland/32/19.cha,CAR,what's in here?,,
12547,NewEngland/32/19.cha,CHI,I don't know.,1,
12548,NewEngland/32/19.cha,CHI,okay.,,
12549,NewEngland/32/19.cha,CAR,oh!,,
12550,NewEngland/32/19.cha,CAR,what is it?,,
12551,NewEngland/32/19.cha,CHI,it's Cookie Monster.,1,
12552,NewEngland/32/19.cha,CHI,and a bird.,1,
12553,NewEngland/32/19.cha,CAR,what can we do with these?,,
12554,NewEngland/32/19.cha,CHI,you put them on like this.,1,
12555,NewEngland/32/19.cha,CAR,let's see.,,
12556,NewEngland/32/19.cha,CHI,like this.,1,
12557,NewEngland/32/19.cha,CAR,hello Cookie Monster.,,
12558,NewEngland/32/19.cha,CHI,hi.,,
12559,NewEngland/32/19.cha,CAR,how are you?,,
12560,NewEngland/32/19.cha,CHI,hi.,,
12561,NewEngland/32/19.cha,CHI,what has in him?,-1,
12562,NewEngland/32/19.cha,CAR,what does he have in him?,,
12563,NewEngland/32/19.cha,CHI,yeah.,,
12564,NewEngland/32/19.cha,CAR,what's in there?,,
12565,NewEngland/32/19.cha,CAR,is it his mouth?,,
12566,NewEngland/32/19.cha,CHI,hi.,,
12567,NewEngland/32/19.cha,CHI,hi.,,
12568,NewEngland/32/19.cha,CAR,hello Cookie Monster.,,
12569,NewEngland/32/19.cha,CAR,can you shake my hand?,,
12570,NewEngland/32/19.cha,CAR,how about if I put one on then they can talk?,,
12571,NewEngland/32/19.cha,CHI,hi.,,
12572,NewEngland/32/19.cha,CAR,hello Cookie Monster.,,
12573,NewEngland/32/19.cha,CAR,my name is Polly the Bird.,,
12574,NewEngland/32/19.cha,CAR,and I would like to play with you.,,
12575,NewEngland/32/19.cha,CAR,would you play with me?,,
12576,NewEngland/32/19.cha,CHI,yeah.,,
12577,NewEngland/32/19.cha,CAR,I'm going to sleep in my bed.,,
12578,NewEngland/32/19.cha,CAR,watch this.,,
12579,NewEngland/32/19.cha,CAR,I'm.,,
12580,NewEngland/32/19.cha,CHI,I'm going to sleep in my bed.,1,
12581,NewEngland/32/19.cha,CAR,I'm going to wake up now and get my play clothes on.,,
12582,NewEngland/32/19.cha,CHI,yeah.,,
12583,NewEngland/32/19.cha,CHI,me too.,1,
12584,NewEngland/32/19.cha,CAR,I'm now putting my sneakers on.,,
12585,NewEngland/32/19.cha,CAR,put my shirt on.,,
12586,NewEngland/32/19.cha,CAR,I can do it all by myself.,,
12587,NewEngland/32/19.cha,CAR,can you put your play clothes on all by yourself?,,
12588,NewEngland/32/19.cha,CAR,you look very handsome in those play clothes.,,
12589,NewEngland/32/19.cha,CAR,I like your new velcro sneakers Mister Cookie Monster.,,
12590,NewEngland/32/19.cha,CAR,wanna come over to my house and we'll have some lunch?,,
12591,NewEngland/32/19.cha,CHI,yeah.,,
12592,NewEngland/32/19.cha,CAR,alright.,,
12593,NewEngland/32/19.cha,CAR,hold my hand.,,
12594,NewEngland/32/19.cha,CAR,what would you like for lunch?,,
12595,NewEngland/32/19.cha,CHI,I like peanut butter.,1,
12596,NewEngland/32/19.cha,CAR,okay.,,
12597,NewEngland/32/19.cha,CAR,I'll make the peanut butter.,,
12598,NewEngland/32/19.cha,CAR,what would you like to drink?,,
12599,NewEngland/32/19.cha,CHI,I like soda.,1,
12600,NewEngland/32/19.cha,CAR,you get the soda and I'll make the peanut butter.,,
12601,NewEngland/32/19.cha,CAR,the refrigerator's over there.,,
12602,NewEngland/32/19.cha,CAR,here.,,
12603,NewEngland/32/19.cha,CAR,we can pretend this is the table.,,
12604,NewEngland/32/19.cha,CAR,sit here.,,
12605,NewEngland/32/19.cha,CAR,here's your peanut butter sandwich.,,
12606,NewEngland/32/19.cha,CAR,hey I got an idea.,,
12607,NewEngland/32/19.cha,CHI,what?,,
12608,NewEngland/32/19.cha,CAR,why don't you take the bird one now and I could have a turn with the Cookie Monster?,,
12609,NewEngland/32/19.cha,CHI,yeah.,,
12610,NewEngland/32/19.cha,CAR,alright.,,
12611,NewEngland/32/19.cha,CAR,thanks.,,
12612,NewEngland/32/19.cha,CAR,oh that does have something funny inside.,,
12613,NewEngland/32/19.cha,CAR,it feels like plastic.,,
12614,NewEngland/32/19.cha,CAR,inside this mouth.,,
12615,NewEngland/32/19.cha,CHI,I can't do this one.,1,
12616,NewEngland/32/19.cha,CAR,that one's hard to do?,,
12617,NewEngland/32/19.cha,CAR,you wanna try Cookie Monster again?,,
12618,NewEngland/32/19.cha,CHI,yeah.,,
12619,NewEngland/32/19.cha,CAR,it's a little easier to move the mouth on this one?,,
12620,NewEngland/32/19.cha,CAR,yeah.,,
12621,NewEngland/32/19.cha,CAR,I think let me turn your here.,,
12622,NewEngland/32/19.cha,CAR,wanna give it a try?,,
12623,NewEngland/32/19.cha,CAR,you wanna use that one?,,
12624,NewEngland/32/19.cha,CHI,yeah.,,
12625,NewEngland/32/19.cha,CAR,okay.,,
12626,NewEngland/32/19.cha,CAR,I'll use the bird.,,
12627,NewEngland/32/19.cha,CAR,do you like my fancy blue hair?,,
12628,NewEngland/32/19.cha,CHI,something has inside here.,-1,
12629,NewEngland/32/19.cha,CAR,yeah it's like a piece of plastic in there.,,
12630,NewEngland/32/19.cha,CAR,I wish we could turn it inside out so we could see it.,,
12631,NewEngland/32/19.cha,CAR,see this is what's inside that makes it move.,,
12632,NewEngland/32/19.cha,CAR,see?,,
12633,NewEngland/32/19.cha,CAR,pretty fancy huh?,,
12634,NewEngland/32/19.cha,CAR,it's a great puppet!,,
12635,NewEngland/32/19.cha,CAR,here you go.,,
12636,NewEngland/32/19.cha,CHI,I touched it.,1,
12637,NewEngland/32/19.cha,CAR,yeah that's what you do.,,
12638,NewEngland/32/19.cha,CAR,what.,,
12639,NewEngland/32/19.cha,CAR,what else can these puppets do?,,
12640,NewEngland/32/19.cha,CHI,they they can play on the swings.,1,
12641,NewEngland/32/19.cha,CAR,alright.,,
12642,NewEngland/32/19.cha,CAR,where should the swings be?,,
12643,NewEngland/32/19.cha,CAR,what should we make the swings be?,,
12644,NewEngland/32/19.cha,CHI,the swings are over there.,1,
12645,NewEngland/32/19.cha,CAR,alright.,,
12646,NewEngland/32/19.cha,CAR,let's have them over there.,,
12647,NewEngland/32/19.cha,CAR,you know what they could do?,,
12648,NewEngland/32/19.cha,CAR,we could have this be the swings.,,
12649,NewEngland/32/19.cha,CHI,what?,,
12650,NewEngland/32/19.cha,CAR,they could sit on my arm and they could pretend my arm is the swing.,,
