,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
3147,Suppes/021006.cha,CHI,they ate their hay.,1.0,,34
3148,Suppes/021006.cha,CAR,did you go inside with the goats?,,,34
3149,Suppes/021006.cha,CHI,nope.,,,34
3150,Suppes/021006.cha,CAR,where did you stay?,,,34
3151,Suppes/021006.cha,CHI,I stayed outside.,1.0,,34
3152,Suppes/021006.cha,CAR,who went in?,,,34
3153,Suppes/021006.cha,CHI,Miriam did.,1.0,,34
3154,Suppes/021006.cha,CHI,Miriam did Mommy.,1.0,,34
3155,Suppes/021006.cha,CAR,I see.,,,34
3156,Suppes/021006.cha,CAR,where did she bring the hay?,,,34
3157,Suppes/021006.cha,CHI,from the big hole.,1.0,,34
3158,Suppes/021006.cha,CHI,from the little holes.,1.0,,34
3159,Suppes/021006.cha,CAR,from the big shed?,,,34
3160,Suppes/021006.cha,CHI,yup.,,,34
3161,Suppes/021006.cha,CAR,and where did she put it?,,,34
3162,Suppes/021006.cha,CHI,in their house.,1.0,,34
3163,Suppes/021006.cha,CAR,in whose house?,,,34
3164,Suppes/021006.cha,CHI,in Marilee's house.,1.0,,34
3165,Suppes/021006.cha,CAR,in whose house?,,,34
3166,Suppes/021006.cha,CHI,where's Marilee?,1.0,,34
3167,Suppes/021006.cha,CAR,Marilee lives somewhere else.,,,34
3168,Suppes/021006.cha,CHI,no I wanna go to what that thing and see if I'm tall.,-1.0,verb,34
3169,Suppes/021006.cha,CAR,oh you wanna go against the the bureau?,,,34
3170,Suppes/021006.cha,CAR,okay stand against the bureau and I'll show you how tall you are.,,,34
3171,Suppes/021006.cha,CAR,this is how tall you are.,,,34
3172,Suppes/021006.cha,CAR,turn around.,,,34
3173,Suppes/021006.cha,CAR,see how tall you are?,,,34
3174,Suppes/021006.cha,CHI,yup.,,,34
3175,Suppes/021006.cha,CAR,you've gotten big haven't you?,,,34
3176,Suppes/021006.cha,CHI,Miriam and nick are out there.,1.0,,34
3177,Suppes/021006.cha,CHI,see that.,0.0,,34
3178,Suppes/021006.cha,CAR,where are they?,,,34
3179,Suppes/021006.cha,CAR,I don't see them.,,,34
3180,Suppes/021006.cha,CHI,what are those people doing?,1.0,,34
