,transcript_file,speaker_code,transcript_clean,is_grammatical,labels
5516,Kuczaj/041113.cha,CAR,I really do.,,
5517,Kuczaj/041113.cha,CAR,those were good Thanksgiving pictures.,,
5518,Kuczaj/041113.cha,CHI,how much people do you think liked them?,-1,other
5519,Kuczaj/041113.cha,CAR,Jean liked them.,,
5520,Kuczaj/041113.cha,CAR,and Lyle liked them.,,
5521,Kuczaj/041113.cha,CAR,and I know Daddy liked them.,,
5522,Kuczaj/041113.cha,CAR,where are you going?,,
5523,Kuczaj/041113.cha,CHI,I have to go poop.,1,
5524,Kuczaj/041113.cha,CHI,you can't go down there unless you get your bluejeans on.,1,
5525,Kuczaj/041113.cha,CAR,I can go down right now.,,
5526,Kuczaj/041113.cha,CHI,you don't got no bluejeans on.,-1,determiner
5527,Kuczaj/041113.cha,CAR,I know.,,
5528,Kuczaj/041113.cha,CAR,I'm just going down for a second.,,
5529,Kuczaj/041113.cha,CAR,we both have to go to the dentist in January.,,
5530,Kuczaj/041113.cha,CHI,you got to go in January.,1,
5531,Kuczaj/041113.cha,CHI,January is when the baby's getting born.,1,
5532,Kuczaj/041113.cha,CAR,in February.,,
5533,Kuczaj/041113.cha,CHI,oh yeah Mom I didn't know farmers would let robins sit in barns.,1,
5534,Kuczaj/041113.cha,CAR,some do.,,
5535,Kuczaj/041113.cha,CHI,huh?,,
5536,Kuczaj/041113.cha,CAR,some do.,,
5537,Kuczaj/041113.cha,CHI,"of course like Joe he useta run a farm, a neat farm too.",1,
5538,Kuczaj/041113.cha,CAR,yeah.,,
5539,Kuczaj/041113.cha,CHI,I thought it was neat farm.,-1,determiner
5540,Kuczaj/041113.cha,CAR,it looks like some birds have eaten some of the bread.,,
5541,Kuczaj/041113.cha,CHI,I wanna see.,1,
5542,Kuczaj/041113.cha,CHI,could I see?,1,
5543,Kuczaj/041113.cha,CAR,sure go look.,,
5544,Kuczaj/041113.cha,CHI,you mean some of the birds had a Thanksgiving.,-1,determiner
5545,Kuczaj/041113.cha,CAR,huh?,,
5546,Kuczaj/041113.cha,CHI,one bird had a Thanksgiving when he ate our breads.,-1,plural
5547,Kuczaj/041113.cha,CAR,uhhuh see that number fifteen Abe?,,
5548,Kuczaj/041113.cha,CAR,with the yellow circle around it?,,
5549,Kuczaj/041113.cha,CHI,I can't see a yellow circle.,1,
5550,Kuczaj/041113.cha,CAR,I mean a yellow square.,,
5551,Kuczaj/041113.cha,CHI,uhhuh.,,
5552,Kuczaj/041113.cha,CAR,guess whose birthday that is.,,
5553,Kuczaj/041113.cha,CHI,mine.,,
5554,Kuczaj/041113.cha,CHI,how many more days?,1,
5555,Kuczaj/041113.cha,CAR,seventeen.,,
5556,Kuczaj/041113.cha,CHI,oh.,,
5557,Kuczaj/041113.cha,CAR,what would you do if I stole all your gifts?,,
5558,Kuczaj/041113.cha,CHI,I'd punch you.,1,
5559,Kuczaj/041113.cha,CAR,I better not do it then.,,
5560,Kuczaj/041113.cha,CHI,hey Mommy hey Daddy what did they say about Karen?,1,
5561,Kuczaj/041113.cha,CAR,she can't come.,,
5562,Kuczaj/041113.cha,CAR,know why?,,
5563,Kuczaj/041113.cha,CHI,it costs too much.,1,
5564,Kuczaj/041113.cha,CAR,uhhuh.,,
5565,Kuczaj/041113.cha,CHI,why didn't they pay for Karen and then Karen only goes?,-1,tense_aspect
5566,Kuczaj/041113.cha,CAR,well I suggested that.,,
5567,Kuczaj/041113.cha,CAR,but it still costs too much.,,
5568,Kuczaj/041113.cha,CHI,hey!,,
5569,Kuczaj/041113.cha,CHI,there's thread in my cereal.,1,
5570,Kuczaj/041113.cha,CHI,I'll show you a piece of thread.,1,
5571,Kuczaj/041113.cha,CAR,Grandma said.,,
5572,Kuczaj/041113.cha,CAR,I spent all my money on as gifts.,,
5573,Kuczaj/041113.cha,CAR,and I don't have any left to let Karen fly up.,,
5574,Kuczaj/041113.cha,CHI,is that true?,1,
5575,Kuczaj/041113.cha,CAR,yeah.,,
5576,Kuczaj/041113.cha,CHI,hey Mommy.,1,
5577,Kuczaj/041113.cha,CAR,yeah.,,
5578,Kuczaj/041113.cha,CHI,we can put this up after we're done eating.,1,
5579,Kuczaj/041113.cha,CAR,uhhuh which do you think Mike would like?,,
5580,Kuczaj/041113.cha,CAR,a cowboy jacket or a zebra robe?,,
5581,Kuczaj/041113.cha,CHI,probably one of those zebra robes and a cowboy jacket.,1,
5582,Kuczaj/041113.cha,CAR,no it has to one or the other.,,
5583,Kuczaj/041113.cha,CHI,how about a cowboy jacket like the one I have?,1,
5584,Kuczaj/041113.cha,CAR,do you think he'd like it?,,
5585,Kuczaj/041113.cha,CHI,except with a different kind of material.,1,
5586,Kuczaj/041113.cha,CHI,because he likes softest material.,-1,"determiner, other"
5587,Kuczaj/041113.cha,CAR,oh Abe.,,
5588,Kuczaj/041113.cha,CHI,I can't talk with my mouth full.,1,
5589,Kuczaj/041113.cha,CHI,I can't talk now.,1,
5590,Kuczaj/041113.cha,CHI,I forgot.,1,
5591,Kuczaj/041113.cha,CHI,I can't laugh with my mouth full.,1,
5592,Kuczaj/041113.cha,CHI,I can't drink with my mouth full.,1,
5593,Kuczaj/041113.cha,CHI,and I can't eat with my mouth full.,1,
5594,Kuczaj/041113.cha,CAR,oh.,,
5595,Kuczaj/041113.cha,CHI,Mom how do you think Santa could sneak into our house?,1,
5596,Kuczaj/041113.cha,CAR,he has magical powers.,,
5597,Kuczaj/041113.cha,CHI,no he doesn't.,1,
5598,Kuczaj/041113.cha,CHI,he has real sneak shoes or slippers.,1,
5599,Kuczaj/041113.cha,CHI,real quiet shoes.,1,
5600,Kuczaj/041113.cha,CAR,I think I'll stay up real late this year and see if I can see Santa when he comes to our house.,,
5601,Kuczaj/041113.cha,CHI,Santa gots real magical powers if you look up he'll be up down.,-1,tense_aspect
5602,Kuczaj/041113.cha,CHI,if you look down he'll be up.,1,
5603,Kuczaj/041113.cha,CHI,so you better not stay up.,1,
5604,Kuczaj/041113.cha,CHI,because if he sees you he'll give you a spanking.,1,
5605,Kuczaj/041113.cha,CAR,if he sees me he won't leave any presents for anybody.,,
5606,Kuczaj/041113.cha,CAR,that'd be okay.,,
5607,Kuczaj/041113.cha,CHI,no he wouldn't.,1,
5608,Kuczaj/041113.cha,CHI,he would just leave not presents for you.,-1,determiner
5609,Kuczaj/041113.cha,CAR,oh should we leave him a carrot to eat?,,
5610,Kuczaj/041113.cha,CHI,I don't know.,1,
5611,Kuczaj/041113.cha,CHI,but when is it going to be Easter?,1,
5612,Kuczaj/041113.cha,CAR,I hope he doesn't bring the reindeer in the house.,,
5613,Kuczaj/041113.cha,CAR,they'd make a real mess.,,
5614,Kuczaj/041113.cha,CHI,or leave footprints.,1,
5615,Kuczaj/041113.cha,CHI,or go tee tee on the floor.,0,
5616,Kuczaj/041113.cha,CHI,Mom where did you see the Christmas decorations?,1,
