,transcript_file,speaker_code,transcript_clean,is_grammatical,note
3697,Suppes/021006.cha,CAR,they must be pretty hungry.,,
3698,Suppes/021006.cha,CAR,you sure are giving them a lot of food.,,
3699,Suppes/021006.cha,CHI,for to eat.,-1,
3700,Suppes/021006.cha,CHI,now give the dog some food.,0,
3701,Suppes/021006.cha,CHI,because the dog.,-1,
3702,Suppes/021006.cha,CHI,because the dog.,-1,
3703,Suppes/021006.cha,CHI,are you making a dog?,1,
3704,Suppes/021006.cha,CHI,what that?,-1,
3705,Suppes/021006.cha,CAR,that's a dog.,,
3706,Suppes/021006.cha,CHI,that's a funny looking dog.,1,
3707,Suppes/021006.cha,CAR,it's a little dog.,,
3708,Suppes/021006.cha,CHI,yeah.,,
3709,Suppes/021006.cha,CHI,cause he's eating his food.,1,
3710,Suppes/021006.cha,CHI,now what we should make?,-1,
3711,Suppes/021006.cha,CHI,some more dog food?,1,
3712,Suppes/021006.cha,CHI,now what we should make?,-1,
3713,Suppes/021006.cha,CAR,oh I don't know.,,
3714,Suppes/021006.cha,CAR,what's fun to make with play dough?,,
3715,Suppes/021006.cha,CHI,pancake.,,
3716,Suppes/021006.cha,CAR,who's going to eat the pancakes?,,
3717,Suppes/021006.cha,CHI,I am.,1,
3718,Suppes/021006.cha,CAR,shall we make big ones or little ones?,,
3719,Suppes/021006.cha,CHI,big one.,-1,
3720,Suppes/021006.cha,CHI,this is a big one for me.,1,
3721,Suppes/021006.cha,CHI,this this is for the dog.,1,
3722,Suppes/021006.cha,CAR,what's.,,
3723,Suppes/021006.cha,CAR,what are you making?,,
3724,Suppes/021006.cha,CHI,there.,,
3725,Suppes/021006.cha,CAR,oh.,,
3726,Suppes/021006.cha,CHI,there is food.,1,
3727,Suppes/021006.cha,CAR,do you think they'll have play dough at your new school?,,
3728,Suppes/021006.cha,CHI,yup.,,
3729,Suppes/021006.cha,CAR,what did you do at your new school yesterday?,,
3730,Suppes/021006.cha,CHI,played.,,
3731,Suppes/021006.cha,CHI,played.,,
3732,Suppes/021006.cha,CAR,did you like the new school?,,
3733,Suppes/021006.cha,CHI,yeah.,,
3734,Suppes/021006.cha,CAR,who was there?,,
3735,Suppes/021006.cha,CHI,a lot of children.,1,
3736,Suppes/021006.cha,CAR,what did you do with those bones?,,
3737,Suppes/021006.cha,CHI,yup and made play dough.,-1,no subj
3738,Suppes/021006.cha,CAR,and paint?,,
3739,Suppes/021006.cha,CAR,and then what did you do?,,
3740,Suppes/021006.cha,CAR,did you make a picture?,,
3741,Suppes/021006.cha,CAR,did you make a picture at school?,,
3742,Suppes/021006.cha,CHI,yup.,,
3743,Suppes/021006.cha,CAR,what happened to the picture?,,
3744,Suppes/021006.cha,CAR,where is it?,,
3745,Suppes/021006.cha,CAR,did you forget it?,,
3746,Suppes/021006.cha,CHI,yup.,,
3747,Suppes/021006.cha,CAR,uhoh what else did you forget at school?,,
3748,Suppes/021006.cha,CHI,my dolly.,1,
3749,Suppes/021006.cha,CAR,we better go on Monday and pick up your picture and your dolly.,,
3750,Suppes/021006.cha,CHI,yup.,,
3751,Suppes/021006.cha,CAR,would you like to go to that school?,,
3752,Suppes/021006.cha,CHI,yeah.,,
3753,Suppes/021006.cha,CAR,there're many nice people there weren't there?,,
3754,Suppes/021006.cha,CAR,did they play music?,,
3755,Suppes/021006.cha,CHI,yup.,,
3756,Suppes/021006.cha,CAR,what did you do there?,,
3757,Suppes/021006.cha,CHI,I play music.,-1,wrong tense
3758,Suppes/021006.cha,CAR,what kind?,,
3759,Suppes/021006.cha,CAR,what instrument did you play.,,
3760,Suppes/021006.cha,CAR,with Gary and Mel?,,
3761,Suppes/021006.cha,CHI,I played three blind mice.,1,
3762,Suppes/021006.cha,CAR,what?,,
3763,Suppes/021006.cha,CHI,on a guitar.,1,continuation
3764,Suppes/021006.cha,CHI,on a on a guitar pluck.,-1,
3765,Suppes/021006.cha,CAR,what did you keep in your hand?,,
3766,Suppes/021006.cha,CHI,a a clip.,1,
