,transcript_file,speaker_code,transcript_clean,is_grammatical,note
6173,EllisWeismer/LT/30pc/22142.cha,CAR,oh look.,,
6174,EllisWeismer/LT/30pc/22142.cha,CAR,what's this?,,
6175,EllisWeismer/LT/30pc/22142.cha,CHI,I don't know.,1,
6176,EllisWeismer/LT/30pc/22142.cha,CAR,corn on the cob.,,
6177,EllisWeismer/LT/30pc/22142.cha,CAR,who eats corn on the cob?,,
6178,EllisWeismer/LT/30pc/22142.cha,CAR,Childsname does.,,
6179,EllisWeismer/LT/30pc/22142.cha,CHI,ah.,,
6180,EllisWeismer/LT/30pc/22142.cha,CAR,that's grain.,,
6181,EllisWeismer/LT/30pc/22142.cha,CAR,and a scooper like we use for Sasha.,,
6182,EllisWeismer/LT/30pc/22142.cha,CAR,yeah don't put your mouth on it.,,
6183,EllisWeismer/LT/30pc/22142.cha,CAR,we just pretend Childsname.,,
6184,EllisWeismer/LT/30pc/22142.cha,CAR,we just pretend.,,
6185,EllisWeismer/LT/30pc/22142.cha,CAR,okay you know who I think would like some corn on the cob?,,
6186,EllisWeismer/LT/30pc/22142.cha,CAR,Mr Pig.,,
6187,EllisWeismer/LT/30pc/22142.cha,CAR,oink oink oink.,,
6188,EllisWeismer/LT/30pc/22142.cha,CAR,yeah we don't we don't put it in our mouth honey.,,
6189,EllisWeismer/LT/30pc/22142.cha,CAR,mm good corn.,,
6190,EllisWeismer/LT/30pc/22142.cha,CAR,he doesn't eat his with butter though.,,
6191,EllisWeismer/LT/30pc/22142.cha,CAR,just plain corn.,,
6192,EllisWeismer/LT/30pc/22142.cha,CAR,oh there goes all the people in the stall huh?,,
6193,EllisWeismer/LT/30pc/22142.cha,CAR,there's a hole in the ceiling.,,
6194,EllisWeismer/LT/30pc/22142.cha,CAR,and they're going down.,,
6195,EllisWeismer/LT/30pc/22142.cha,CAR,should we let the animals play in the yard and not put them in the fence?,,
6196,EllisWeismer/LT/30pc/22142.cha,CAR,we can put the fence away.,,
6197,EllisWeismer/LT/30pc/22142.cha,CAR,somebody was closing a door.,,
6198,EllisWeismer/LT/30pc/22142.cha,CAR,but it wasn't our door.,,
6199,EllisWeismer/LT/30pc/22142.cha,CAR,would you like to play with something else now?,,
6200,EllisWeismer/LT/30pc/22142.cha,CAR,what would you like to play with?,,
6201,EllisWeismer/LT/30pc/22142.cha,CAR,Mr Potato Head?,,
6202,EllisWeismer/LT/30pc/22142.cha,CAR,okay.,,
6203,EllisWeismer/LT/30pc/22142.cha,CAR,that's our door.,,
6204,EllisWeismer/LT/30pc/22142.cha,CAR,there's Chris.,,
6205,Gelman/2004-Gender/26.cha,CAR,"okay, that means that we can start.",,
6206,Gelman/2004-Gender/26.cha,CAR,the name of the book is.,,
6207,Gelman/2004-Gender/26.cha,CAR,who can?,,
6208,Gelman/2004-Gender/26.cha,CAR,who can take out the trash?,,
