,transcript_file,speaker_code,transcript_clean,is_grammatical,labels
3147,Suppes/021006.cha,CHI,they ate their hay.,1,
3148,Suppes/021006.cha,CAR,did you go inside with the goats?,,
3149,Suppes/021006.cha,CHI,nope.,,
3150,Suppes/021006.cha,CAR,where did you stay?,,
3151,Suppes/021006.cha,CHI,I stayed outside.,1,
3152,Suppes/021006.cha,CAR,who went in?,,
3153,Suppes/021006.cha,CHI,Miriam did.,1,
3154,Suppes/021006.cha,CHI,Miriam did Mommy.,1,
3155,Suppes/021006.cha,CAR,I see.,,
3156,Suppes/021006.cha,CAR,where did she bring the hay?,,
3157,Suppes/021006.cha,CHI,from the big hole.,1,
3158,Suppes/021006.cha,CHI,from the little holes.,1,
3159,Suppes/021006.cha,CAR,from the big shed?,,
3160,Suppes/021006.cha,CHI,yup.,,
3161,Suppes/021006.cha,CAR,and where did she put it?,,
3162,Suppes/021006.cha,CHI,in their house.,1,
3163,Suppes/021006.cha,CAR,in whose house?,,
3164,Suppes/021006.cha,CHI,in Marilee's house.,1,
3165,Suppes/021006.cha,CAR,in whose house?,,
3166,Suppes/021006.cha,CHI,where's Marilee?,1,
3167,Suppes/021006.cha,CAR,Marilee lives somewhere else.,,
3168,Suppes/021006.cha,CHI,no I wanna go to what that thing and see if I'm tall.,-1,verb
3169,Suppes/021006.cha,CAR,oh you wanna go against the the bureau?,,
3170,Suppes/021006.cha,CAR,okay stand against the bureau and I'll show you how tall you are.,,
3171,Suppes/021006.cha,CAR,this is how tall you are.,,
3172,Suppes/021006.cha,CAR,turn around.,,
3173,Suppes/021006.cha,CAR,see how tall you are?,,
3174,Suppes/021006.cha,CHI,yup.,,
3175,Suppes/021006.cha,CAR,you've gotten big haven't you?,,
3176,Suppes/021006.cha,CHI,Miriam and nick are out there.,1,
3177,Suppes/021006.cha,CHI,see that.,0,
3178,Suppes/021006.cha,CAR,where are they?,,
3179,Suppes/021006.cha,CAR,I don't see them.,,
3180,Suppes/021006.cha,CHI,what are those people doing?,1,
3181,Suppes/021006.cha,CHI,uh?,,
3182,Suppes/021006.cha,CAR,where?,,
3183,Suppes/021006.cha,CHI,what are those people doing right there?,1,
3184,Suppes/021006.cha,CAR,oh I think they're talking.,,
3185,Suppes/021006.cha,CHI,at my new home?,1,
3186,Suppes/021006.cha,CAR,yeah.,,
3187,Suppes/021006.cha,CHI,oh I see.,1,
3188,Suppes/021006.cha,CHI,oh I see.,1,
3189,Suppes/021006.cha,CHI,I see.,1,
3190,Suppes/021006.cha,CHI,I see.,1,
3191,Suppes/021006.cha,CHI,I see.,1,
3192,Suppes/021006.cha,CHI,I see.,1,
3193,Suppes/021006.cha,CHI,I see.,1,
3194,Suppes/021006.cha,CHI,I see.,1,
3195,Suppes/021006.cha,CHI,I see.,1,
3196,Suppes/021006.cha,CHI,I see.,1,
3197,Suppes/021006.cha,CAR,are the horses eating?,,
3198,Suppes/021006.cha,CHI,yup.,,
3199,Suppes/021006.cha,CAR,oh they're nice horses.,,
3200,Suppes/021006.cha,CAR,look at flicker.,,
3201,Suppes/021006.cha,CAR,he's coming towards the fence.,,
3202,Suppes/021006.cha,CHI,yeah.,,
3203,Suppes/021006.cha,CHI,see all the apricot trees?,0,
3204,Suppes/021006.cha,CHI,yeah.,,
3205,Suppes/021006.cha,CAR,did you eat an apricot this morning?,,
3206,Suppes/021006.cha,CHI,apricots are on there.,1,
3207,Suppes/021006.cha,CHI,on the apricot tree.,1,
3208,Suppes/021006.cha,CAR,not any more.,,
3209,Suppes/021006.cha,CAR,they were on there this summer.,,
3210,Suppes/021006.cha,CHI,yup.,,
3211,Suppes/021006.cha,CAR,now we're eating dried apricots aren't we?,,
3212,Suppes/021006.cha,CHI,yeah.,,
3213,Suppes/021006.cha,CAR,do you like dried apricots?,,
3214,Suppes/021006.cha,CHI,yeah.,,
3215,Suppes/021006.cha,CHI,I like wet apricots too.,1,
3216,Suppes/021006.cha,CAR,you like fresh apricots?,,
3217,Suppes/021006.cha,CHI,no I like wet apricots.,1,
3218,Suppes/021006.cha,CAR,wet I see.,,
3219,Suppes/021006.cha,CHI,yup.,,
3220,Suppes/021006.cha,CAR,what fruit did you have in your cereal this morning?,,
3221,Suppes/021006.cha,CHI,raisins.,,
3222,Suppes/021006.cha,CAR,and what else?,,
3223,Suppes/021006.cha,CHI,banana.,,
3224,Suppes/021006.cha,CAR,oh did you eat the banana in the cereal?,,
3225,Suppes/021006.cha,CHI,nope out of the cereal.,0,
3226,Suppes/021006.cha,CAR,oh how did you eat it?,,
3227,Suppes/021006.cha,CAR,did you eat it with your hand?,,
3228,Suppes/021006.cha,CHI,nope.,,
3229,Suppes/021006.cha,CAR,did you keep it in the peel?,,
3230,Suppes/021006.cha,CHI,yup.,,
3231,Suppes/021006.cha,CAR,did you eat the whole thing?,,
3232,Suppes/021006.cha,CHI,yup.,,
3233,Suppes/021006.cha,CAR,none for me?,,
3234,Suppes/021006.cha,CAR,oh my goodness.,,
3235,Suppes/021006.cha,CHI,let's play with the play dough now.,1,
3236,Suppes/021006.cha,CHI,let's play with the play dough now.,1,
3237,Suppes/021006.cha,CAR,okay here's some play dough.,,
3238,Suppes/021006.cha,CHI,let's play with it.,1,
3239,Suppes/021006.cha,CAR,what would you like to do with it?,,
3240,Suppes/021006.cha,CHI,play with it with you.,1,
3241,Suppes/021006.cha,CHI,I wanna play with it with you.,1,
3242,Suppes/021006.cha,CHI,okay?,,
3243,Suppes/021006.cha,CHI,I wanna play with it with you.,1,
3244,Suppes/021006.cha,CAR,okay here it is.,,
3245,Suppes/021006.cha,CHI,you play with it with me.,0,
3246,Suppes/021006.cha,CAR,fine let's put it back here.,,
3247,Suppes/021006.cha,CHI,okay.,,
3248,Suppes/021006.cha,CHI,and make a.,-1,object
3249,Suppes/021006.cha,CHI,you make a little bear.,0,
3250,Suppes/021006.cha,CHI,you make a little bear.,0,
3251,Suppes/021006.cha,CAR,okay.,,
3252,Suppes/021006.cha,CAR,what are you going to make?,,
3253,Suppes/021006.cha,CHI,I'm going to make.,-1,object
3254,Suppes/021006.cha,CHI,you make a little bear and a and a rabbit.,0,
3255,Suppes/021006.cha,CHI,you make a bear.,0,
3256,Suppes/021006.cha,CHI,you make a bear Mommy.,0,
3257,Suppes/021006.cha,CAR,I am.,,
3258,Suppes/021006.cha,CAR,I'm making a bear.,,
3259,Suppes/021006.cha,CAR,what are you going to make?,,
3260,Suppes/021006.cha,CHI,you make a rabbit and a bear I said.,0,
3261,Suppes/021006.cha,CAR,here's a rabbit.,,
3262,Suppes/021006.cha,CAR,long ears.,,
3263,Suppes/021006.cha,CAR,there's a little bear.,,
3264,Suppes/021006.cha,CHI,okay.,,
3265,Suppes/021006.cha,CHI,then you make a kitty and a dog.,-1,auxiliary
3266,Suppes/021006.cha,CAR,the bear.,,
3267,Suppes/021006.cha,CAR,now you make something for Mommy.,,
3268,Suppes/021006.cha,CHI,okay.,,
3269,Suppes/021006.cha,CHI,this is a seal.,1,
3270,Suppes/021006.cha,CHI,that's a seal.,1,
3271,Suppes/021006.cha,CAR,really?,,
3272,Suppes/021006.cha,CHI,yeah.,,
3273,Suppes/021006.cha,CHI,I just make one seal.,-1,tense_aspect
3274,Suppes/021006.cha,CHI,you make a dog and kitty.,0,
3275,Suppes/021006.cha,CHI,okay?,,
3276,Suppes/021006.cha,CAR,what shall I do with the dog and kitty?,,
3277,Suppes/021006.cha,CHI,make them rough.,1,
3278,Suppes/021006.cha,CAR,rough?,,
3279,Suppes/021006.cha,CAR,make them fight together?,,
3280,Suppes/021006.cha,CHI,yeah.,,
3281,Suppes/021006.cha,CAR,oh maybe the dog would like the kitty.,,
3282,Suppes/021006.cha,CAR,do we have a new kitty in our home?,,
3283,Suppes/021006.cha,CHI,yeah.,,
3284,Suppes/021006.cha,CAR,what is she like?,,
3285,Suppes/021006.cha,CHI,she likes food.,1,
3286,Suppes/021006.cha,CAR,is she big or little?,,
3287,Suppes/021006.cha,CHI,big or big.,1,
3288,Suppes/021006.cha,CAR,she's big?,,
3289,Suppes/021006.cha,CHI,little.,,
3290,Suppes/021006.cha,CAR,she's little.,,
3291,Suppes/021006.cha,CAR,what do you do with her?,,
3292,Suppes/021006.cha,CHI,carry her.,1,
3293,Suppes/021006.cha,CAR,and what else?,,
3294,Suppes/021006.cha,CHI,pat her.,1,
3295,Suppes/021006.cha,CHI,just carry and pat her.,1,
3296,Suppes/021006.cha,CAR,what does she do all the time?,,
3297,Suppes/021006.cha,CHI,scratches.,,
3298,Suppes/021006.cha,CAR,sometimes she scratches and she meows too doesn't she?,,
3299,Suppes/021006.cha,CHI,then we put her at down.,-1,preposition
3300,Suppes/021006.cha,CAR,when do you put her down?,,
3301,Suppes/021006.cha,CHI,when she meows you put her down.,1,
3302,Suppes/021006.cha,CAR,why?,,
3303,Suppes/021006.cha,CAR,what does it mean?,,
3304,Suppes/021006.cha,CHI,that means peoples say.,-1,other
3305,Suppes/021006.cha,CHI,put the kitty down.,1,
3306,Suppes/021006.cha,CAR,you mean when the kitty meows you put her down?,,
3307,Suppes/021006.cha,CHI,yeah.,,
3308,Suppes/021006.cha,CAR,does that mean she's unhappy when she meows?,,
3309,Suppes/021006.cha,CAR,what did she do this morning when you held her in the kitchen?,,
3310,Suppes/021006.cha,CAR,she made a funny noise.,,
3311,Suppes/021006.cha,CAR,what was that called?,,
3312,Suppes/021006.cha,CHI,purring.,,
3313,Suppes/021006.cha,CAR,purring.,,
3314,Suppes/021006.cha,CAR,that was nice wasn't it?,,
3315,Suppes/021006.cha,CHI,that was nice purring.,1,
3316,Suppes/021006.cha,CAR,what does purring mean?,,
3317,Suppes/021006.cha,CHI,purring means put her down.,1,
3318,Suppes/021006.cha,CAR,purring means she's happy right?,,
3319,Suppes/021006.cha,CHI,yeah.,,
3320,Suppes/021006.cha,CAR,and meowing means she's sad.,,
3321,Suppes/021006.cha,CHI,yup.,,
3322,Suppes/021006.cha,CHI,that way she wants to get down.,1,
3323,Suppes/021006.cha,CAR,so what does she do when she wants to get down?,,
3324,Suppes/021006.cha,CHI,she wants to get down.,1,
3325,Suppes/021006.cha,CAR,what does she do then?,,
3326,Suppes/021006.cha,CHI,oh I'm going stupid that hair on there.,-1,other
3327,Suppes/021006.cha,CAR,that what?,,
3328,Suppes/021006.cha,CHI,that hair.,1,
3329,Suppes/021006.cha,CAR,do you have hair stuck to your finger?,,
3330,Suppes/021006.cha,CHI,yup.,,
3331,Suppes/021006.cha,CAR,that's a piece of fuzz.,,
3332,Suppes/021006.cha,CAR,from the carpet.,,
3333,Suppes/021006.cha,CHI,yup you.,-1,verb
3334,Suppes/021006.cha,CHI,let's play with the play dough now.,1,
3335,Suppes/021006.cha,CAR,oh it feels nice.,,
3336,Suppes/021006.cha,CHI,it feels nice.,1,
3337,Suppes/021006.cha,CHI,yup.,,
3338,Suppes/021006.cha,CHI,that's for big people too and for little girls.,1,
3339,Suppes/021006.cha,CAR,what is?,,
3340,Suppes/021006.cha,CHI,play dough is for big girls big people.,1,
3341,Suppes/021006.cha,CAR,it is?,,
3342,Suppes/021006.cha,CAR,it's fun to play with.,,
3343,Suppes/021006.cha,CAR,I'm going to make some pancakes.,,
3344,Suppes/021006.cha,CHI,yeah.,,
3345,Suppes/021006.cha,CAR,did we eat pancakes the other day?,,
3346,Suppes/021006.cha,CHI,yup with Maggie at the pancake house with Justin and me and Maggie and Justin and you.,1,
3347,Suppes/021006.cha,CAR,was that fun?,,
