,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
4277,Suppes/021006.cha,CAR,it's a little baby carriage.,,,34
4278,Suppes/021006.cha,CHI,oh.,,,34
4279,Suppes/021006.cha,CHI,then what is this?,1.0,,34
4280,Suppes/021006.cha,CHI,what are these thing?,-1.0,plural,34
4281,Suppes/021006.cha,CAR,that's a little crib.,,,34
4282,Suppes/021006.cha,CHI,oh with a baby in it?,1.0,,34
4283,Suppes/021006.cha,CHI,let me take it out of there.,1.0,,34
4284,Suppes/021006.cha,CAR,here.,,,34
4285,Suppes/021006.cha,CAR,what are those things?,,,34
4286,Suppes/021006.cha,CAR,these are the wheels of the carriage.,,,34
4287,Suppes/021006.cha,CAR,shall we put them in place?,,,34
4288,Suppes/021006.cha,CHI,yup.,,,34
4289,Suppes/021006.cha,CHI,put them on the carriage.,0.0,,34
4290,Suppes/021006.cha,CHI,and who's in there?,1.0,,34
4291,Suppes/021006.cha,CHI,that's another little baby.,1.0,,34
4292,Suppes/021006.cha,CHI,he wants to come out of his crib.,1.0,,34
4293,Suppes/021006.cha,CAR,look.,,,34
4294,Suppes/021006.cha,CHI,yeah.,,,34
4295,Suppes/021006.cha,CHI,this baby.,-1.0,verb,34
4296,Suppes/021006.cha,CHI,this baby is here.,1.0,,34
4297,Suppes/021006.cha,CHI,where the mother to push him?,-1.0,verb,34
4298,Suppes/021006.cha,CHI,where's the mother to push him?,1.0,,34
4299,Suppes/021006.cha,CAR,I guess you'll be his mother.,,,34
4300,Suppes/021006.cha,CHI,this one?,1.0,,34
4301,Suppes/021006.cha,CHI,this one?,1.0,,34
4302,Suppes/021006.cha,CAR,you can be the mother of the baby okay?,,,34
4303,Suppes/021006.cha,CHI,nope I won't.,1.0,,34
4304,Suppes/021006.cha,CAR,you don't wanna be the mother of the baby?,,,34
4305,Suppes/021006.cha,CHI,yup.,,,34
4306,Suppes/021006.cha,CHI,I do.,1.0,,34
4307,Suppes/021006.cha,CAR,you do?,,,34
4308,Suppes/021006.cha,CHI,them both of them are going to go there.,1.0,,34
4309,Suppes/021006.cha,CAR,both of who are going to go there?,,,34
4310,Suppes/021006.cha,CHI,the babies are.,1.0,,34
4311,Suppes/021006.cha,CHI,this baby wants to go.,1.0,,34
4312,Suppes/021006.cha,CAR,where's the baby?,,,34
4313,Suppes/021006.cha,CHI,this baby's going to share the carriage.,1.0,,34
4314,Suppes/021006.cha,CAR,in the carriage?,,,34
